ID,regnum,regnum2,name1,name2
H4P00022,545†,545,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,548,548,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,551,551,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,554,554,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,559,559,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,567,567,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,568,568,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,575,575,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,581,581,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,586†,586,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,588,588,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,590,590,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,596,596,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,603,603,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
H4P00022,614,614,Kanzler Heinrichs IV.,"Adalbero, Metzer Domkanoniker, Kanzler Heinrichs IV., Kanzler (Gegen)Kg. Rudolfs v. Rheinfelden // Kanzler Heinrichs IV."
