regid,Lemma
"RI III,2,3 n. 1535",danken
"RI III,2,3 n. 1536",übergeben
"RI III,2,3 n. 1537",investieren
"RI III,2,3 n. 1538",erklären
"RI III,2,3 n. 1539",übertragen
"RI III,2,3 n. 1540",restituieren
"RI III,2,3 n. 1541",mahnen
"RI III,2,3 n. 1542",errichten
"RI III,2,3 n. 1543",bestätigen
"RI III,2,3 n. 1544",geben
"RI III,2,3 n. 1545",verleihen
"RI III,2,3 n. 1546",bestätigen
"RI III,2,3 n. 1547",bestätigen
"RI III,2,3 n. 1548",bestätigen
"RI III,2,3 n. 1549",übergeben
"RI III,2,3 n. 155",begehen
"RI III,2,3 n. 1550",sichern
"RI III,2,3 n. 1551",bestätigen
"RI III,2,3 n. 1552",gewähren
"RI III,2,3 n. 1553",fliehen
"RI III,2,3 n. 1554",schildern
"RI III,2,3 n. 1555",zeihen|ziehen
"RI III,2,3 n. 1556",setzen
"RI III,2,3 n. 1557",setzen
"RI III,2,3 n. 1558",bitten
"RI III,2,3 n. 1559",nehmen
"RI III,2,3 n. 156",bestätigen
"RI III,2,3 n. 1560",versichern
"RI III,2,3 n. 1561",begehen
"RI III,2,3 n. 1562",klagen
"RI III,2,3 n. 1563",leisten
"RI III,2,3 n. 1564",beklagen
"RI III,2,3 n. 1565",klagen
"RI III,2,3 n. 1567",schicken
"RI III,2,3 n. 1568",erhalten
"RI III,2,3 n. 1569",senden
"RI III,2,3 n. 157",beraten
"RI III,2,3 n. 1570",erklären
"RI III,2,3 n. 1571",empfangen
"RI III,2,3 n. 1572",sterben
"RI III,2,3 n. 16",intervenieren
"RI III,2,3 n. 163",begehen
"RI III,2,3 n. 164",bestätigen
"RI III,2,3 n. 167",begehen
"RI III,2,3 n. 17",intervenieren
"RI III,2,3 n. 170",erleiden
"RI III,2,3 n. 173",schenken
"RI III,2,3 n. 177",halten
"RI III,2,3 n. 178",begeben
"RI III,2,3 n. 18",werden
"RI III,2,3 n. 181",werden
"RI III,2,3 n. 182",begehen
"RI III,2,3 n. 183",haben
"RI III,2,3 n. 184",verleihen
"RI III,2,3 n. 185",erbitten
"RI III,2,3 n. 186",begeben
"RI III,2,3 n. 187",übertragen
"RI III,2,3 n. 188",übertragen
"RI III,2,3 n. 189",begehen
"RI III,2,3 n. 19",werden
"RI III,2,3 n. 190",dauern
"RI III,2,3 n. 191",nehmen
"RI III,2,3 n. 194",schenken
"RI III,2,3 n. 195",sterben
"RI III,2,3 n. 196",verleihen
"RI III,2,3 n. 2",lassen
"RI III,2,3 n. 20",intervenieren
"RI III,2,3 n. 200",richten
"RI III,2,3 n. 201",schicken
"RI III,2,3 n. 202",fassen
"RI III,2,3 n. 204",begehen
"RI III,2,3 n. 205",erhalten
"RI III,2,3 n. 206",ausbrechen
"RI III,2,3 n. 207",begeben
"RI III,2,3 n. 208",erhalten
"RI III,2,3 n. 21",werden
"RI III,2,3 n. 211",schicken
"RI III,2,3 n. 212",verhalten
"RI III,2,3 n. 213",erhalten
"RI III,2,3 n. 214",leisten
"RI III,2,3 n. 218",verurteilen
"RI III,2,3 n. 219",werden
"RI III,2,3 n. 220",halten
"RI III,2,3 n. 221",entbrennen
"RI III,2,3 n. 223",schenken
"RI III,2,3 n. 225",richten
"RI III,2,3 n. 226",erklären
"RI III,2,3 n. 227",werden
"RI III,2,3 n. 228",werden
"RI III,2,3 n. 23",werden
"RI III,2,3 n. 231",nehmen
"RI III,2,3 n. 234",belagern
"RI III,2,3 n. 235",erteilen
"RI III,2,3 n. 236",begehen
"RI III,2,3 n. 237",fordern
"RI III,2,3 n. 238",werden
"RI III,2,3 n. 239",kommen
"RI III,2,3 n. 24",intervenieren
"RI III,2,3 n. 242",bestätigen
"RI III,2,3 n. 248",werden
"RI III,2,3 n. 249",begehen
"RI III,2,3 n. 25",werden
"RI III,2,3 n. 250",unternehmen
"RI III,2,3 n. 251",kommen
"RI III,2,3 n. 252",werden
"RI III,2,3 n. 253",verzichten
"RI III,2,3 n. 254",bitten
"RI III,2,3 n. 255",übernehmen
"RI III,2,3 n. 256",verleihen
"RI III,2,3 n. 258",wünschen
"RI III,2,3 n. 259",führen
"RI III,2,3 n. 26",werden
"RI III,2,3 n. 260",begehen
"RI III,2,3 n. 267",weigern
"RI III,2,3 n. 269",werden
"RI III,2,3 n. 27",werden
"RI III,2,3 n. 275",werden
"RI III,2,3 n. 276",begehen
"RI III,2,3 n. 277",werden
"RI III,2,3 n. 278",fordern
"RI III,2,3 n. 279",erhalten
"RI III,2,3 n. 28",intervenieren
"RI III,2,3 n. 282",vermag
"RI III,2,3 n. 283",begehen
"RI III,2,3 n. 285",begehen
"RI III,2,3 n. 287",treten
"RI III,2,3 n. 29",werden
"RI III,2,3 n. 290",werden
"RI III,2,3 n. 291",werden
"RI III,2,3 n. 292",teilnehmen
"RI III,2,3 n. 293",richten
"RI III,2,3 n. 294",ordnen
"RI III,2,3 n. 3",folgen
"RI III,2,3 n. 30",übertragen
"RI III,2,3 n. 300",richten
"RI III,2,3 n. 303",schicken
"RI III,2,3 n. 306",ersuchen
"RI III,2,3 n. 307",werden
"RI III,2,3 n. 308",erhalten
"RI III,2,3 n. 31",intervenieren
"RI III,2,3 n. 312",bestätigen
"RI III,2,3 n. 313",halten
"RI III,2,3 n. 314",fallen|gefallen
"RI III,2,3 n. 315",begehen
"RI III,2,3 n. 317",sagen
"RI III,2,3 n. 319",kommen
"RI III,2,3 n. 32",werden
"RI III,2,3 n. 322",schenken
"RI III,2,3 n. 324",begehen
"RI III,2,3 n. 327",lassen
"RI III,2,3 n. 33",werden
"RI III,2,3 n. 330",begehen
"RI III,2,3 n. 334",begeben
"RI III,2,3 n. 336",versuchen
"RI III,2,3 n. 34",werden
"RI III,2,3 n. 344",verleihen
"RI III,2,3 n. 345",werden
"RI III,2,3 n. 347",erteilen
"RI III,2,3 n. 35",werden
"RI III,2,3 n. 351",brechen
"RI III,2,3 n. 354",begehen
"RI III,2,3 n. 355",werden
"RI III,2,3 n. 356",werden
"RI III,2,3 n. 358",befinden
"RI III,2,3 n. 359",begehen
"RI III,2,3 n. 36",werden
"RI III,2,3 n. 360",werden
"RI III,2,3 n. 361",werden
"RI III,2,3 n. 362",beginnen
"RI III,2,3 n. 363",ernennen
"RI III,2,3 n. 364",schenken
"RI III,2,3 n. 365",schenken
"RI III,2,3 n. 366",schenken
"RI III,2,3 n. 367",schenken
"RI III,2,3 n. 368",schenken
"RI III,2,3 n. 369",bestätigen
"RI III,2,3 n. 37",werden
"RI III,2,3 n. 370",schenken
"RI III,2,3 n. 371",beglaubigen
"RI III,2,3 n. 372",schenken
"RI III,2,3 n. 373",empfangen
"RI III,2,3 n. 374",bestätigen
